name,price,availability,brand,productCode,description
Canon EF-S18-55mm f/3.5-5.6 IS II," Rs11,450.00 "," Rs11,450.00 ",Canon,Product Code: EF-S18-55mm f/3.5-5.6 IS II,"Despite a compact, lightweight design that makes it highly portable, this lens includes a newly developed image stabilization mechanism. The IS provides camera shake compensation up to an equivalent of approximately four full shutter speed steps*1, enabling natural looking photos in dim environments under existing light. Tack-sharp images and a 0.25m/9.8inch minimum shooting distance are maintained over the entire zoom range. Flare and ghost are minimal, and the circular aperture produces beautiful background blur effects. Also featuring high-speed autofocus, this IS zoom lens is an excellent choice as “standard” lens. Filter size: 58mm"
Canon EF-S18-55mm f/3.5-5.6 IS STM," Rs14,180.00 "," Rs14,180.00 ",Canon,Product Code: EF-S18-55mm f/3.5-5.6 IS STM,"This lens is a compact, lightweight EF-S standard zoom lens which includes necessary features developed for camera-based movie shooting. Quiet, smooth Movie Servo AF has been made possible by using a new type of 6-group inner focusing system. Use of a high-precision aspheric lens has also enabled higher image quality. This standard zoom lens is also equipped with Canon's Image Stabilization function, making it the equivalent of 4 shutter speed settings faster across its entire range. Lens disposition and coatings are optimized to minimize ghosting and flare. With STM motor and IS Filter size: 58mm Max aperture: f/3.5-5.6"
Canon EF-S18-55mm f/4-5.6 IS STM," Rs14,180.00 "," Rs14,180.00 ",Canon,Product Code: EF-S18-55mm f/4-5.6 IS STM,"A lightweight, compact standard zoom lens for use on EOS cameras with APS-C sensors. Focal length ranges from 29-88mm*, covering the semi-wide-angle and mid-telephoto angles of view that are most convenient for travel and portrait photography. The lens body is a petite 61.8mm long, and is designed to prevent zoom creep, enhancing ease-of-use during shooting. With the use of 1 aspherical lens element, EOS-style high image quality is also certainly a given. The image stabilizer has been improved to 4 stops for even better camera-shake correction, and the lens AF is powered by Stepping Motor Technology (STM), ensuring smooth, quiet AF - ideal for videos. This is one lens that will increase your shooting possibilities for both stills and videos. Filter size: 58mm Max aperture: f/4 - 5.6 STM motor with IS"
Canon EF-S60mm f/2.8 Macro USM," Rs31,450.00 "," Rs31,450.00 ",Canon,Product Code: EF-S60mm f/2.8 Macro USM,"This is a medium telephoto macro lens for EF-S lens-compatible EOS digital SLR cameras. It has an angle of view approximately equivalent to a 96mm lens in the 35mm format, and is capable of macro photography up to life size (1:1). With an optical design utilizing the advantages of the short back focus and smaller image circle of the Advanced Photo System C size imaging element, the lens achieves life-size macro photography together with lightweight compactness. Its lightweight, compact design makes it perfect for nature photography. The optical system of twelve elements in eight groups uses only environmentally friendly lead-free glass and has inner focusing by the third group. It gives high image quality throughout the entire focusing range and a 90mm working distance, the longest in its class for life-size photography. Since the length of the lens does not change when focusing, there is no concern about the end of the lens touching the subject when focusing, allowing you to get even closer. The optical design and coating are optimized to reduce the flare and ghosts that are prone to occur with digital cameras. The quick and quiet inner focusing and ring-type USM autofocusing ensure that exclusive photo opportunities are not missed when shooting insects and small animals. The lens mechanism is designed to ensure that it fits only EOS DIGITAL SLR cameras designed to take EF-S lenses. It is equipped with a special attachment indicator and protective rubber mount ring to prevent mistaken attempts to attach it to other EOS SLR cameras, and to prevent damage to the camera body. Filter size: 52mm Max aperture: f/2.8 With ring USM motor"
Canon EF100mm f/2 USM," Rs35,090.00 "," Rs35,090.00 ",Canon,Product Code: EF100mm f/2 USM,"For natural looking perspective in landscape photography, portraiture and snapshots, this large-aperture, medium telephoto lens is ideal, and easily portable. Equipped with a rear focusing optical system perfect for medium telephoto lenses, this lens compensates for all types of aberration, delivering outstanding image performance that is sharp and clear, even at maximum aperture. Designed with portrait photography in mind, a great deal of thought went into the natural, soft blur effect. The lens delivers quick, quiet USM autofocusing as well as smooth full-time manual focus. As with the EF85mm f/1.8 USM, the lens's operability is outstanding, with a constant lens length as well as a wide manual focus ring and non-rotating filter and hood mounts. Filter size: 58mm Max aperture: f/2 With ring USM motor"
Canon EF100mm f/2.8 Macro USM," Rs39,765.00 "," Rs39,765.00 ",Canon,Product Code: EF100mm f/2.8 Macro USM,"A medium telephoto macro lens offering excellent picture quality and close-up magnification up to life size (1:1). Optimizing the optical power distribution reduces spherical aberration fluctuation during close-up photography, delivering constant high picture quality over all focusing distance. The inner focusing system makes the working distance (the distance from the lens to the subject) 149mm during life-size photography - twice the distance of the 50mm macro lens. Convenient operability is achieved with the easy full-time manual focus ideal for subtle adjustments of the focus position (a task in macro photography and the non-rotating front lens element. If the optional ring-type tripod mount B (B) (with an adapter for the EF100mm f/2.8 Macro USM) is used, switching between vertical and horizontal compositions without affecting the optical axis is a simple matter. Filter size: 58mm Max aperture: f/2.8 With ring USM motor"
Canon EF100mm f/2.8L Macro IS USM," Rs59,995.00 "," Rs59,995.00 ",Canon,Product Code: EF100mm f/2.8L Macro IS USM,"Canon's EF 100mm lens with the new Hybrid IS system offers a more complete and refined motion compensation to deliver the best results, particularly in macro photography, where the camera is likely to shake and shift at the same time. The ""angular velocity sensor"" used in conventional systems cannot compare with Canon's new Hybrid IS system, which incorporates an additional acceleration sensor to compensate for camera shift – the result is notably sharper and crisp images. Filter size: 67mm Max aperture: f/2.8 With ring USM motor and IS"
Canon EF180mm f/3.5L Macro USM," Rs95,450.00 "," Rs95,450.00 ",Canon,Product Code: EF180mm f/3.5L Macro USM,"This 180mm telephoto macro lens is capable of close-ups up to 1x. It is ideal for photographing insects and small animals, where a long working distance is desirable. The focusing range can easily be switched between 0.48m/1.6ft. to infinity and 1.5m/4.9ft. to infinity. Use of three UD elements effectively corrects secondary spectrum. Employing an internal floating construction ensures sharp delineation at all subject distances. Since the length of the lens does not change when focusing, there is no need to worry about the lens coming in contact with the subject. The ring-type USM delivers quiet autofocusing. Full-time manual focus is also available. Maximum magnification can be raised to either 1.4x or 2x by using Extender EF 1.4x II or 2x II. Filter size: 72mm Max aperture: f/3.5 With ring USM motor"
Canon EF24-105mm f/3.5-5.6 IS STM," Rs30,540.00 "," Rs30,540.00 ",Canon,Product Code: EF24-105mm f/3.5-5.6 IS STM,"The EF24-105mm f/3.5-5.6 IS STM is a versatile and affordable lens, with a range of 24mm wide-angle to 105mm telephoto, comfortably delivering on the needs of regular users who enjoy capturing portrait shots, landscapes, and close-ups of distant subjects. A 7-blade circular aperture diaphragm in combination with the IS functionality enables users to capture night scenes with natural and beautiful background blurs. Photography is also made possible with a minimum focus distance of 0.40m and a maximum magnification of 0.30x at all zoom ranges. The EF24-105mm f/3.5-5.6 IS STM is the first EF lens to come equipped with a lead-screw type stepping motor (STM). It also features a full-time manual focus mechanism that allows for manual, minute focus adjustments. The motor is highly responsive, allowing for quick and smooth AF. It is also silent, making it ideal for movie capturing, especially when used with a Movie Servo AF-compatible camera. Filter size: 77mm Max aperture: f/3.5-5.6 With STM; Stepping motor (Screw-type) and IS"
Canon EF24-105mm f/4L IS II USM," Rs73,635.00 "," Rs73,635.00 ",Canon,Product Code: EF24-105mm f/4L IS II USM,"The EF24-105mm f/4L IS II USM is a versatile standard zoom lens, with a zoom range covering wide-angle to mid-telephoto shots. With the optimally positioned GMo aspherical lenses for better peripheral brightness and Air Sphere Coating (ASC) coating to suppress flaring and ghosting, users are equipped to achieve sharp and crisp photographs. With its image stabilization improved from 2.5 stops to 4 stops (CIPA standard), users can still achieve sharp images when shooting handheld, even at low shutter speeds. The dust and drip-proof structure also enables shooting in harsh conditions, meeting the high demands of professionals and highly skilled amateurs. Filter size: 77mm Max aperture: f/4 With ring USM motor and IS"
Canon EF24-105mm f/4L IS USM," Rs71,775.00 "," Rs71,775.00 ",Canon,Product Code: EF24-105mm f/4L IS USM,"This is a standard zoom lens covering a wide range from 24mm wide-angle to 105mm medium-telephoto shooting. In addition to achieving a broad zoom range, the optical system made up of 18 elements in 13 groups contains only environmentally-friendly lead-free glass. The various types of aberration are well compensated using one super UD lens and three aspherical lenses (replica and molded glass), and this enables high quality images befitting L-series lenses. In addition, optimization of lens positioning and coating minimizes the flare and ghosting to which digital cameras are susceptible, while an image stabilizer mechanism is incorporated to offer camera-shake compensation for approximately three shutter speed steps. Furthermore, the highly dust-proof and drip-proof*1 structure enabling shooting in harsh conditions, and full-time manual focusing make this a high-performance lens able to meet the high demands of professionals and highly skilled amateurs. Filter size: 77mm Max aperture: f/4 With ring USM motor and IS"
Canon EF24-70mm f/2.8L II USM," Rs129,995.00 "," Rs129,995.00 ",Canon,Product Code: EF24-70mm f/2.8L II USM,"The EF24-70mm f/2.8L II USM is a high-performance large-aperture L standard zoom lens with a wide focal-length range. By utilising three aspheric lens elements, a Super UD lens element, and two UD lens elements, magnification-type chromatic aberration at wider angles is corrected thus achieving superior image quality. Sporting a new reduced length, this lens is made all the easier to use with fast yet silent autofocus, a full-time mechanical manual focus, and a circular aperture for beautiful soft-focus images. With minimum focusing distance of 0.38m and magnification of 0.29x, this lens is also perfect for close-ups. With ring USM motor Filter size: 82mm Max aperture: f/2.8"
Canon EF24-70mm f/4L IS USM," Rs73,635.00 "," Rs73,635.00 ",Canon,Product Code: EF24-70mm f/4L IS USM,"The EF24-70mm f/4L IS USM is a compact, lightweight high resolution standard zoom developed to strengthen the f/4L series product lineup. This compact lens is equipped with 2 aspherical lens elements and 2 UD lens elements which allow it to achieve high resolution throughout the zoom range and image area. In addition, setting the zoom ring to macro at the telephoto end allows for macro shooting up to a magnification of 0.7x. The lens is also equipped with a hybrid IS function which provides effective image stabilization during macro shooting. With ring USM motor Macro shooting (up to 0.7x) Max aperture: f/4"
Canon EF28-135mm f/3.5-5.6 IS USM," Rs38,795.00 "," Rs38,795.00 ",Canon,Product Code: EF28-135mm f/3.5-5.6 IS USM,"This standard zoom lens comes equipped with an Image Stabilizer mechanism that lets you drop down two shutter speeds*1 farther than you would normally be able to use during hand-held photography. Despite the roughly 5x large magnification zoom, the lens size itself is very compact, thanks to use of a compact EMD and a multi-group zoom system, which means this lens works well in fast-moving photographic situations. The optical system uses glass-mold aspherical lenses. Suppressing the curvature of field, spherical aberration, and other distortions common in long focal lengths over the whole zoom range and correcting for other aberrations makes for sharp picture quality. The autofocus is quick and quiet thanks to the ring-type USM and inner focusing system. The full-time manual focus, non-rotating front lens element, and wide zoom ring make the lens a dream to use. The hood for this lens is the petal-type EW-78BII. Filter size: 72mm Max aperture: f/3.5-5.6 With ring USM motor and IS"
Canon EF28-300mm f/3.5-5.6L IS USM," Rs159,995.00 "," Rs159,995.00 ",Canon,Product Code: EF28-300mm f/3.5-5.6L IS USM,"This ultra-high quality zoom lens covers the entire zoom range from 28mm wide-angle to 300mm telephoto. With three UD lenses and three aspherical lenses, chromatic aberration and distortions are thoroughly suppressed, realizing an approximately 11x zoom range with image quality suited to an L lens. And because the lens comes with an image stabilization mechanism that can compensate for approximately 3 shutter speeds*1, users can take advantage of its full capabilities during handheld shooting at 300mm telephoto and in locations with insufficient lighting. The lens uses environmentally friendly lead-free glass, and with an optimized lens coating and optical design, it minimizes flare and ghosts, which often occur with digital cameras. In addition, it features a zoom ring friction control mechanism, making it possible to freely set zoom operations, and enhanced dust-proof and drip-proof*2 design for shooting under severe conditions. The lens also comes with high-speed AF and full-time manual focus system. This ultrahigh-performance zoom lens meets the demands of all users from professionals to photo enthusiasts. Filter size: 77mm Max aperture: f/3.5-5.6 With ring USM motor and IS"
Canon EF300mm f/2.8L IS II USM," Rs413,635.00 "," Rs413,635.00 ",Canon,Product Code: EF-S18-135mm f/3.5-5.6 IS USM,• 	 Large-aperture high-performance f/2.8 super-telephoto L lens with built-in Image Stabilization • 	 Magnesium alloy body ensures structural strength and lightweight body • 	 Use of titanium in some parts also contributes to the reduced weight • 	 Highly resistant to dust and water for use under harsh environmental conditions Filter size: 52mm Max aperture: f/2.8 With ring USM motor
Canon EF400mm f/2.8L IS II USM," Rs658,180.00 "," Rs658,180.00 ",Canon,Product Code: EF400mm f/2.8L IS II USM,• 	 Large-aperture high-performance f/2.8 super-telephoto L lens with built-in Image Stabilization • 	 Magnesium alloy body ensures structural strength and lightweight body • 	 Use of titanium in some parts also contributes to the reduced weight • 	 Highly resistant to dust and water for use under harsh environmental conditions Filter size: 52mm Max aperture: f/2.8 With ring USM motor
Canon EF400mm f/4 DO IS II USM," Rs439,995.00 "," Rs439,995.00 ",Canon,Product Code: EF400mm f/4 DO IS II USM,"The EF400mm f/4 DO IS II USM is a professional lens that is particularly suited for wildlife and sports photographers. This lens allows photographers to achieve the reach of a super-telephoto lens, while maintaining superior standards of mobility in the lens through a portable and lightweight form factor. While traditional telephoto lenses are designed with gaps between the optical elements to reduce chromatic aberration, the EF400mm f/4 DO IS II USM uses a gapless dual-layered diffractive optical element, which greatly reduces the ring-shaped diffractive flaring caused by high-intensity light sources. This reduction is taken further with the incorporation of a large diameter ground aspherical lens and a UD lens.  It also contains an improved IS unit that significantly enhances image stabilization when the appropriate IS mode is selected and features a shorter minimum focal distance, down to 3.3m from 3.5m in its predecessor. Maximum magnification has also improved from 0.12x to 0.13x as a result of the superior lens characteristics. The EF400mm f/4 DO IS II USM is highly resistant to harsh environments. This is achieved through a fluorine coating on both the front and rear lens elements, which makes the lens dirt and oil-resistant while easier to clean. All rings and buttons are constructed with a dust and drip-proof structure, preventing dust and liquid from entering the sensitive interior of the lens. Filter size: 52mm drop-in Max aperture: f/4 With Ring–type USM and IS"
Canon EF400mm f/5.6L USM," Rs83,635.00 "," Rs83,635.00 ",Canon,Product Code: EF400mm f/5.6L USM,"This is a high-performance 400mm super telephoto lens featuring an extremely light and compact design ideal for photographers requiring high mobility and portability. The optical system incorporates one element made of Super UD glass and on element made of standard UD glass, thus effectively correcting colour aberration and delivering extremely sharp, high-contrast imaging performance. Other features that ensure convenient operation include a built-in hood, a removable ring-type tripod mount, and a focus range selector that allows the user to select the full 3.5m/11.5ft.-to-infinity distance range or restrict the range to 8.5m/27.9ft.-to-infinity. Filter size: 77mm Max aperture: f/5.6 With ring USM motor"
Canon EF40mm f/2.8 STM," Rs8,725.00 "," Rs8,725.00 ",Canon,Product Code: EF40mm f/2.8 STM,"The EF40mm f/2.8 STM comes in an ultra-compact and lightweight design, with a diameter of 68.2mm, a thickness of 22.8mm and weighing 130g making it the slimmest and lightest EF lens produced. A fast f/2.8 aperture, 7-blade circular aperture and aspherical lens elements let the lens achieve a high level of image quality from centre to corner. With STM motor Filter size: 52mm Max aperture: f/2.8"
Canon EF50mm f/1.2L USM," Rs95,995.00 "," Rs95,995.00 ",Canon,Product Code: EF50mm f/1.2L USM,"This standard lens features a super-wide maximum aperture of f/1.2. Taking advantage of shallow depth of field allow the photographer to capture subjects with impact, such as for wedding portraits. Use of an aspherical lens effectively corrects spherical aberrations and delivers sharp, high-contrast images even with the aperture fully open. Another attractive aspect of the lens is its circular aperture that creates beautiful background blur. Coupled with silent, high-speed autofocusing and full-time manual focus override of subtle focusing adjustment, this lens satisfies professionals both in image quality and operability. Filter size: 72mm Max aperture: f/1.2 With ring USM motor"
Canon EF50mm f/1.4 USM," Rs26,360.00 "," Rs26,360.00 ",Canon,Product Code: EF50mm f/1.4 USM,"By optically distributing power with a gauss type design and two high- refraction glass lenses, flare at maximum aperture is minimized and astigmatism is greatly reduced. Moreover, improvements in the quality of the focused image and the beautiful natural blur of the background are simultaneously achieved. Use of a Micro USM (Micro Ultrasonic Motor) provides fast, silent autofocusing, as well as full-time manual focus. The colour balance is virtually identical to the ISO recommended reference values. Filter size: 58mm Max aperture: f/1.4 With micro USM motor"
Canon EF50mm f/1.8 II," Rs7,815.00 "," Rs7,815.00 ",Canon,Product Code: EF50mm f/1.8 II,"An orthodox 6-element, 5-group construction allows high image quality and natural expressiveness throughout the entire focusing range from infinity to the closest focusing distance of 0.45m/1.58ft. A simple cam-type drive is used in the focusing system, providing quick, quiet autofocusing and achieving a light weight of 130g/4.6oz. Neutral colour balance achieves colour reproduction that is nearly identical with the ISO recommended values. And with a price that won´t break the bank, the fun of a single focal length lens with a different attitude from a standard zoom lens is available to everyone. Filter size: 52mm Max aperture: f/1.8 With micro motor"
